,Name,phenotype,reviewCount,topEffect,thc,subtitle
221,"Strawberry,Diesel",Hybrid,345,Uplifted,19.0,
222,"Blueberry,Haze",Hybrid,343,Euphoric,18.0,
223,"Big,Bud",Indica,340,Sleepy,14.0,
224,"Black,Domina",Indica,340,Sleepy,20.0,
225,"Jedi,Kush",Indica,339,Sleepy,18.0,"Jedi,OG,,Jedi,OG,Kush"
226,Diablo,Indica,336,Sleepy,20.0,
227,"Ace,of,Spades",Indica,335,Sleepy,19.0,
228,"Paris,OG",Indica,334,Sleepy,21.0,"Paris,OG,Kush,,OG,Paris"
229,"Star,Killer",Hybrid,334,Sleepy,21.0,"Star,Killer,OG,,Starkiller"
230,"Bruce,Banner,#3",Hybrid,334,Creative,20.0,"BB3,,Bruce,Banner,3"
231,"Mango,Haze",Sativa,333,Energetic,20.0,
232,"Pure,Kush",Indica,332,Sleepy,16.0,
233,"Cookies,Kush",Indica,331,Sleepy,19.0,"Cookie,Kush,,Girl,Scout,Cookies,Kush,,GSC,Kush"
234,"Peanut,Butter,Breath",Hybrid,328,Relaxed,21.0,"Peanut,Butter,,Peanut,Breath"
235,Kryptonite,Indica,327,Sleepy,16.0,
236,"Violator,Kush",Indica,327,Sleepy,18.0,
237,"24k,Gold",Hybrid,326,Relaxed,20.0,24k
238,"Blueberry,Muffin",Hybrid,322,Relaxed,20.0,"Blueberry,Muffins"
239,"Jack,Flash",Hybrid,322,Energetic,17.0,
240,"Bubba,OG",Indica,321,Sleepy,17.0,"OG,Bubba"
241,Papaya,Indica,320,Sleepy,17.0,
242,"Cat,Piss",Sativa,320,Energetic,17.0,
243,"Dogwalker,OG",Hybrid,320,Relaxed,23.0,"Dogwalker,,Dawg,Walker,OG,,Dawg,Walker"
244,"Jean,Guy",Hybrid,315,Energetic,17.0,
245,Ogre,Hybrid,313,Sleepy,20.0,"Ogre,Kush"
246,"XXX,OG",Indica,312,Sleepy,21.0,
247,"Kali,Mist",Sativa,312,Energetic,18.0,
248,"Mendocino,Purps",Hybrid,311,Hungry,,"Mendo,Purps,,Purple,Mendocino"
249,"Gelato,#33",Hybrid,311,Uplifted,20.0,
250,Watermelon,Indica,310,Sleepy,,"Watermelon,Kush,,Watermelon,OG"
251,"Mob,Boss",Hybrid,306,Energetic,20.0,"Mob,Boss,Tang,Tang"
252,"Gary,Payton",Hybrid,304,Giggly,23.0,
253,Plushberry,Indica,304,Relaxed,15.0,"Plush,Berry,,Plushberry,Kush"
254,"Cherry,AK-47",Hybrid,297,Uplifted,19.0,
255,"Goji,OG",Hybrid,297,Talkative,19.0,"Goji,OG,Kush,,Goji,,OG,Goji"
256,"Wedding,Crasher",Hybrid,295,Focused,21.0,"Wedding,Crashers"
257,"Liberty,Haze",Hybrid,291,Energetic,22.0,
258,"Cannalope,Haze",Sativa,290,Energetic,14.0,"Cantaloupe,Haze,,Cannalope,Haze,Premium"
259,"Venom,OG",Hybrid,289,Sleepy,19.0,"Venom,,Venom,OG,Kush"
260,"Gorilla,Cookies",Hybrid,287,Relaxed,21.0,
261,SAGE,Hybrid,286,Uplifted,17.0,
262,"Purple,Dream",Hybrid,286,Aroused,17.0,
263,"Charlotte's,Web",Sativa,284,Focused,1.0,
264,Nebula,Hybrid,284,Uplifted,22.0,
265,Bio-Jesus,Hybrid,283,Sleepy,25.0,
266,"Blue,Haze",Hybrid,280,Uplifted,19.0,
267,"Big,Buddha,Cheese",Hybrid,280,Uplifted,18.0,
268,"Candy,Jack",Sativa,280,Energetic,19.0,
269,"Blueberry,Cheesecake",Hybrid,279,Happy,17.0,"Blue,Cheesecake"
270,"Cheese,Quake",Hybrid,278,Tingly,19.0,
271,Vortex,Sativa,278,Energetic,17.0,
272,"Black,Mamba",Indica,276,Sleepy,19.0,"Black,Mamba,#6"
273,"Purple,Candy",Hybrid,275,Sleepy,19.0,"Candy,Purple"
274,"Purple,Sour,Diesel",Hybrid,273,Hungry,16.0,
275,Chiesel,Hybrid,273,Focused,22.0,
276,"Dark,Star",Indica,272,Sleepy,20.0,Darkstar
277,"Alien,Rock,Candy",Hybrid,269,Relaxed,24.0,
278,"Member,Berry",Hybrid,268,Aroused,16.0,
279,"Tangerine,Kush",Indica,268,Sleepy,18.0,
280,"Mandarin,Cookies",Hybrid,267,Uplifted,19.0,"Mandarin,Mints"
281,Motorbreath,Hybrid,267,Euphoric,26.0,
282,"Sugar,Black,Rose",Indica,266,Sleepy,29.0,"Black,Sugar,Rose"
283,"White,Buffalo",Sativa,266,Energetic,19.0,Tatanka
284,"Purple,Hindu,Kush",Indica,263,Sleepy,20.0,"Purple,Hindu,,PHK"
285,"Laughing,Buddha",Sativa,263,Giggly,22.0,
286,"Sour,Apple",Hybrid,263,Giggly,17.0,"Sour,Apple,Diesel"
287,ECSD,Sativa,262,Energetic,19.0,"East,Coast,Sour,Diesel"
288,"Strawberry,Lemonade",Sativa,262,Energetic,20.0,"Mike's,Strawberry,Lemonade"
289,"Orange,Bud",Hybrid,262,Energetic,,
290,"Shark,Shock",Indica,261,Relaxed,17.0,
291,"Sour,Tsunami",Hybrid,260,Relaxed,1.0,
292,"White,Runtz",Hybrid,256,Tingly,20.0,
293,"Glass,Slipper",Hybrid,256,Uplifted,17.0,
294,"Cali,Kush",Hybrid,256,Hungry,20.0,"California,Kush,,Kali,Kush"
295,"Blue,Dragon",Hybrid,255,Uplifted,20.0,
296,Querkle,Indica,255,Sleepy,19.0,
297,"Triangle,Kush",Indica,254,Relaxed,20.0,"OG,Triangle,,Triangle,OG"
298,"Red,Headed,Stranger",Sativa,254,Energetic,,RHS
299,"Sage,and,Sour",Sativa,253,Energetic,19.0,"Sage,N,Sour,,S,and,S"
